Unnamed: 0,RMSE,R2
"1S,3R-RSL-3",2.8617983615788747,0.1804242850619011
AA-COCF3,1.8705731222359008,0.1050551324019135
ABT-199,2.2664909723253803,0.2943595719169222
ABT-737,2.03707024495026,0.2209353292914916
AM-580,1.6508044480541513,0.0262086501042962
AT13387,2.4412347372302823,0.2656623574198254
AZD4547,1.641813344193831,0.1503741925820214
AZD7762,1.6147688521975312,0.2994731738466304
AZD8055,2.162483443474063,0.1448219159798788
BI-2536,2.520183529493724,0.4077988199930432
BMS-754807,1.6272448146028222,0.1833911322846498
BRD-A02303741:navitoclax (2:1 mol/mol),1.8835098571066264,0.0998652969516438
BRD-A86708339,1.6748411492375823,0.2879357911484
BRD-K01737880,1.7385318284294464,0.1781324145913199
BRD-K27188169:navitoclax (2:1 mol/mol),2.0655639577720573,0.0433505428567474
BRD-K34099515,1.6004162028843751,-0.0422248332324322
BRD-K55116708,1.7067785106754467,0.1059772286603518
BRD-K61166597,1.6180140185786582,0.3951283606490241
BRD-K63431240,1.6760536384021112,0.0707366135749351
BRD-K97651142,2.3543816580758348,0.1379755849638868
BRD-K99006945,1.5572549196815642,0.0427692571585066
BRD9876,1.8970370940864127,0.0272938750486173
CAY10618,2.754683657333892,0.171498308555263
CR-1-31B,2.241818311872532,0.2636295255567981
Ch-55,1.8858286488145155,0.1509020250802148
GDC-0941,1.5960138310584155,0.1399293628393019
GMX-1778,2.032735500063926,0.2127974905938588
GSK461364,2.7663265685570866,0.3303201080802541
GSK525762A,1.5723528539740006,0.3601281635370509
GW-843682X,1.7291361263327285,0.2704892191999353
I-BET151,1.6690979660747227,0.3622837797596602
JQ-1,1.7912132314374976,0.3150712837003179
JQ-1:MK-0752 (1:1 mol/mol),1.8506306940953088,0.1936821660981005
JQ-1:UNC0638 (2:1 mol/mol),1.7467258114128026,0.2526684181715217
JQ-1:carboplatin (1:1 mol/mol),1.5565434269432818,0.3129120609848407
JQ-1:navitoclax (2:1 mol/mol),1.931266276193201,0.2449103387021347
KPT185,2.1827930304756062,0.4271773025767965
KX2-391,2.438130591957969,0.336781065015227
Ki8751,1.7456969534661964,-0.1466180661025391
LBH-589,2.305039588533922,0.209357581756403
MK-1775,1.6621226684512285,0.2936497607695643
ML162,2.1045271761592352,0.2455705365195641
ML210,2.9773370321419206,0.1528679165393589
ML320,1.665987692728372,0.0697930932672262
MLN2238,1.8365403687060076,0.1785194055122001
NVP-BEZ235,2.073379159563722,0.0544407357691734
NVP-TAE684,1.6570574089695442,0.181977268072888
PD318088,2.46962853210385,0.1858111779578638
PF-3758309,2.1260520245491112,0.37566030146088
PHA-793887,1.710961624427651,0.2938056817392074
PI-103,1.9139952210424,0.1676832449685948
PRIMA-1-Met,1.5305473287395843,-0.0002379976993196
RAF265,1.6158280614598517,0.1064040030681428
RITA,2.3621587334619494,0.1805172741545923
SB-743921,2.9866240697763464,0.3905033260354478
SMER-3,2.060516084291182,0.150686054123163
SN-38,2.522768195797177,0.2285776102941613
SNS-032,2.0154119627235425,0.2277225451288161
SNX-2112,2.150510761095324,0.347406207265148
SNX-2112:bortezomib (250:1 mol/mol),1.991534794194103,0.2161325547282273
SR-II-138A,1.9368440136126128,0.3334590456665139
STF-31,2.223796766421075,0.2696598710152236
TW-37,1.508348683620358,0.1594507928279419
UNC0638:navitoclax (1:1 mol/mol),1.9242702135341636,0.2277178191383678
VX-680,2.098692400690138,0.3088940820409116
YM-155,2.0742752798081523,0.151929541687984
ZSTK474,1.7789300602594968,0.0927102527726687
afatinib,1.702160253711264,0.221892414602995
alisertib,2.131750840578191,0.3392491697065022
alisertib:navitoclax (2:1 mol/mol),2.269855940211002,0.2243944717083618
apicidin,1.5809566417660734,0.3715478893938397
austocystin D,2.6570890941487586,0.2211602148296555
avicin D,1.5760564064490874,0.0551744341091131
bafilomycin A1,1.6398658798362762,5.378666781830077e-05
barasertib,2.4102533658085763,0.3369285824160615
birinapant,2.5249854915242733,0.032055609685008
bleomycin A2,1.9778939408384544,0.1165564678678164
brefeldin A,1.918992278602696,0.0728014453940151
cabozantinib,1.592882316800018,0.1053035004740595
canertinib,1.8139281593645584,0.2426554189446256
cediranib,1.8227433553225163,0.0083178726679709
chlorambucil,1.5276317134159636,0.2755808820347738
clofarabine,2.656457241349495,0.3602777821500537
compound 1B,2.0370313137376304,0.0150805493751309
cucurbitacin I,2.2699641539602857,0.1925223514652132
cytarabine hydrochloride,2.2104177528163707,0.5079010497227605
dabrafenib,2.1606653547932626,0.2054941858024896
daporinad,3.4870034865116755,0.1857313794246455
dasatinib,2.7369401657725896,0.1344730603829902
decitabine,1.826740688483252,0.5395224379194634
decitabine:carboplatin (1:1 mol/mol),2.0767988082972884,0.4260700960069686
decitabine:navitoclax (2:1 mol/mol),2.221600141656801,0.4325577901037374
dexamethasone,2.005437472657754,0.2003872181990307
dinaciclib,2.570790832986472,0.3434444512971041
docetaxel,3.138739713177653,0.2277451669776415
docetaxel:tanespimycin (2:1 mol/mol),2.773357292321018,0.3157212885895903
doxorubicin,1.7452327833276988,0.4509425673064366
doxorubicin:navitoclax (2:1 mol/mol),1.7039406319268862,0.3371198595411375
erastin,1.8400405224776264,0.1294813128700348
etoposide,1.5130653972796664,0.4459674227776526
fluvastatin,1.5314521435127262,0.0700272453043407
foretinib,1.5736331049985173,0.2553986565135679
gemcitabine,2.749124280131084,0.3420053532892992
ibrutinib,1.8001178428436964,0.2055619530959169
imatinib,1.503856026692593,0.1210268330913959
importazole,1.5992375419127547,0.0084716423271794
leptomycin B,2.636506394691509,0.2299883336274512
lovastatin,1.517143291986096,0.0648679143637345
methotrexate,3.300027097357656,0.0935563096244295
mitomycin,2.1075971725397604,0.298201001259589
myriocin,1.5229233719381856,-0.0390867961645535
nakiterpiosin,1.5324811987962106,0.2354239465994789
narciclasine,1.937354623710581,0.2219551456861093
